Order_ID,Customer_Name,Region,Order_Date,Item_Price,Quantity,Discount_Percent,Shipping_Speed
O501, Sarah Connor ,North,2023-02-14,$450.00,2,10%,Express
O502,John Matrix,East,2022-11-05,1200.00,1,15%,Standard
O503,Ellen Ripley,West,2021-08-19,$85.00,4,INVALID,Express
O504,James Bond,South,2023-05-22,$3200.00,1,20%,Standard
O501, Sarah Connor ,North,2023-02-14,$450.00,2,10%,Express
O505,Ethan Hunt,East,2020-12-01,950.00,3,5%,Overnight
O506,Bruce Wayne,North,2022-04-18,$5000.00,1,25%,Express
O507,Clark Kent,West,2023-01-30,150.00,2,0%,Standard
O508,Diana Prince,South,2021-09-12,$2100.00,NaN,12%,Overnight
O509, Peter Parker ,East,2023-07-04,INVALID,5,8%,Standard
O510,Tony Stark,North,2022-10-10,$8500.00,2,30%,Express
O505,Ethan Hunt,East,2020-12-01,950.00,3,5%,Overnight
O511,Wade Wilson,West,2023-03-15,350.00,1,5%,Standard
O512,Natasha Romanoff,South,2021-11-20,$1800.00,2,15%,Overnight
O513,Steve Rogers,North,2022-06-25,$620.00,NaN,10%,Standard
